"","trial_id","node3","full","noAct","noInf","noSelect","noActnoInf","noActnoSelect","noInfnoSelect","noActnoInfnoSelect","n","prop","pgroup","Actual","A","B","E","include"
"131","2_d5","Bu=0",0.0509141466352202,0.0534272244794901,0.147877108278897,0.0287118543212879,0.162461593425937,0.0349312570467178,0.0835668613071122,0.0978588739166763,1,0.0101010101010101,2,FALSE,1,0,1,TRUE
"132","2_d5","Bu=1",0.0509141466352202,0.0593417327905533,0.147877108278897,0.0287118543212879,0.25583782118258,0.201824823206965,0.0835668613071122,0.215360111904846,0,0,2,FALSE,1,0,1,TRUE
"133","2_d6","A=1",0.0424516568690903,0.0439211647661996,0.131665158274253,0.0287118543212879,0.163552260587174,0.0242674212189303,0.0905271134290601,0.0946206716372894,1,0.0117647058823529,2,FALSE,1,1,0,TRUE
"134","2_d6","Au=0",0.107110895437894,0.114245321940631,0.207576357830161,0.442576291357424,0.275879839703436,0.451465157562139,0.505238867720582,0.308911166800419,41,0.482352941176471,2,TRUE,1,1,0,TRUE
"135","2_d6","Au=1",0.0424516568690903,0.046687581255596,0.131665158274253,0.0287118543212879,0.161637999292506,0.0242674212189303,0.0905271134290601,0.107914599217395,1,0.0117647058823529,2,FALSE,1,1,0,TRUE
"136","2_d6","B=1",0.0424516568690903,0.0244466501978687,0.131665158274253,0.0287118543212879,0.0140007392761629,0.0242674212189303,0.0905271134290601,0.0946206716372894,4,0.0470588235294118,2,FALSE,1,1,0,TRUE
"137","2_d6","Bu=0",0.723082477085745,0.724011700584109,0.265763009072825,0.442576291357424,0.342160814908391,0.451465157562139,0.132652678563177,0.123076284735032,33,0.388235294117647,2,TRUE,1,1,0,TRUE
"138","2_d6","Bu=1",0.0424516568690903,0.046687581255596,0.131665158274253,0.0287118543212879,0.0427683462323303,0.0242674212189303,0.0905271134290601,0.270856605972575,3,0.0352941176470588,2,FALSE,1,1,0,TRUE
"139","2_d7","A=1",0.050713970334823,0.0542784415105422,0.039801133114886,0.316879674704919,0.0539319887418446,0.265547835082775,0.316691299241905,0.232490552382305,4,0.0408163265306122,2,TRUE,1,1,1,TRUE
"140","2_d7","Au=0",0.0450384073359614,0.0392546842977359,0.0344276063475866,0.0205573665719862,0.0319499706502664,0.18591456825938,0.0468758737074992,0.203850196129831,0,0,2,FALSE,1,1,1,TRUE
"141","2_d7","Au=1",0.0521435460943046,0.0557571763237553,0.0403628838953952,0.02869700772983,0.0545946547444722,0.0203878531872475,0.0567437523122697,0.0712127452160084,34,0.346938775510204,2,TRUE,1,1,1,TRUE
