"","X","A","uAuB","Au","B","Bu","E.x","E.y","pA","peA","pB","peB","Pr","PrUn","index","structure","posterior","groupPost","pgroup","trialtype","node","cesm","node2","node3"
"169",43,1,"01",0,1,1,0,0,0.1,0.5,0.8,0.5,0.02,0.25,15,"conjunctive",0.333333333333333,4,"1","c4","A",-0.18787396762471,"A","A=1"
"170",43,1,"01",0,1,1,0,0,0.1,0.5,0.8,0.5,0.02,0.25,15,"conjunctive",0.333333333333333,4,"1","c4","Au=0",0.735769429496297,"Au","Au=0"
"171",43,1,"01",0,1,1,0,0,0.1,0.5,0.8,0.5,0.02,0.25,15,"conjunctive",0.333333333333333,4,"1","c4","B",-0.0780314000015248,"B","B=1"
"172",43,1,"01",0,1,1,0,0,0.1,0.5,0.8,0.5,0.02,0.25,15,"conjunctive",0.333333333333333,4,"1","c4","Bu=1",-0.130161372262152,"Bu","Bu=1"
"173",44,1,"01",0,1,1,1,0,0.1,0.5,0.8,0.5,0.02,0.25,16,"conjunctive",0,5,"1","c5","A",0.188253569295369,"A","A=1"
"174",44,1,"01",0,1,1,1,0,0.1,0.5,0.8,0.5,0.02,0.25,16,"conjunctive",0,5,"1","c5","Au=0",-0.736949165521414,"Au","Au=0"
"175",44,1,"01",0,1,1,1,0,0.1,0.5,0.8,0.5,0.02,0.25,16,"conjunctive",0,5,"1","c5","B",0.0781915237519949,"B","B=1"
"176",44,1,"01",0,1,1,1,0,0.1,0.5,0.8,0.5,0.02,0.25,16,"conjunctive",0,5,"1","c5","Bu=1",0.129380156528315,"Bu","Bu=1"
"177",45,1,"10",1,1,0,0,0,0.1,0.5,0.8,0.5,0.02,0.25,17,"conjunctive",0.333333333333333,4,"1","c4","A",-0.18755011931989,"A","A=1"
"178",45,1,"10",1,1,0,0,0,0.1,0.5,0.8,0.5,0.02,0.25,17,"conjunctive",0.333333333333333,4,"1","c4","Au=1",-0.129596840718844,"Au","Au=1"
"179",45,1,"10",1,1,0,0,0,0.1,0.5,0.8,0.5,0.02,0.25,17,"conjunctive",0.333333333333333,4,"1","c4","B",-0.077900247864801,"B","B=1"
"180",45,1,"10",1,1,0,0,0,0.1,0.5,0.8,0.5,0.02,0.25,17,"conjunctive",0.333333333333333,4,"1","c4","Bu=0",0.735568123627948,"Bu","Bu=0"
"181",46,1,"10",1,1,0,1,0,0.1,0.5,0.8,0.5,0.02,0.25,18,"conjunctive",0,5,"1","c5","A",0.188746109596678,"A","A=1"
"182",46,1,"10",1,1,0,1,0,0.1,0.5,0.8,0.5,0.02,0.25,18,"conjunctive",0,5,"1","c5","Au=1",0.130202016549453,"Au","Au=1"
"183",46,1,"10",1,1,0,1,0,0.1,0.5,0.8,0.5,0.02,0.25,18,"conjunctive",0,5,"1","c5","B",0.0784256143257295,"B","B=1"
"184",46,1,"10",1,1,0,1,0,0.1,0.5,0.8,0.5,0.02,0.25,18,"conjunctive",0,5,"1","c5","Bu=0",-0.736571984246927,"Bu","Bu=0"
"185",47,1,"11",1,1,1,0,1,0.1,0.5,0.8,0.5,0.02,0.25,19,"conjunctive",0,4,"1","c4","A",-0.602226963250444,"A","A=1"
"186",47,1,"11",1,1,1,0,1,0.1,0.5,0.8,0.5,0.02,0.25,19,"conjunctive",0,4,"1","c4","Au=1",-0.416775202739952,"Au","Au=1"
"187",47,1,"11",1,1,1,0,1,0.1,0.5,0.8,0.5,0.02,0.25,19,"conjunctive",0,4,"1","c4","B",-0.250667193630116,"B","B=1"
"188",47,1,"11",1,1,1,0,1,0.1,0.5,0.8,0.5,0.02,0.25,19,"conjunctive",0,4,"1","c4","Bu=1",-0.417421087065125,"Bu","Bu=1"
"189",48,1,"11",1,1,1,1,1,0.1,0.5,0.8,0.5,0.02,0.25,20,"conjunctive",1,5,"1","c5","A",0.602074907726985,"A","A=1"
"190",48,1,"11",1,1,1,1,1,0.1,0.5,0.8,0.5,0.02,0.25,20,"conjunctive",1,5,"1","c5","Au=1",0.416229647199041,"Au","Au=1"
"191",48,1,"11",1,1,1,1,1,0.1,0.5,0.8,0.5,0.02,0.25,20,"conjunctive",1,5,"1","c5","B",0.251042929223674,"B","B=1"
"192",48,1,"11",1,1,1,1,1,0.1,0.5,0.8,0.5,0.02,0.25,20,"conjunctive",1,5,"1","c5","Bu=1",0.417080830125649,"Bu","Bu=1"
"193",481,0,"00",0,0,0,0,0,0.5,0.9,0.5,0.2,0.045,0.18,1,"disjunctive",0.18,1,"2","d1","A",0.0520449679264038,"A","A=0"
"194",481,0,"00",0,0,0,0,0,0.5,0.9,0.5,0.2,0.045,0.18,1,"disjunctive",0.18,1,"2","d1","Au=0",0.122815360889296,"Au","Au=0"
"195",481,0,"00",0,0,0,0,0,0.5,0.9,0.5,0.2,0.045,0.18,1,"disjunctive",0.18,1,"2","d1","B",0.433230895954517,"B","B=0"
"196",481,0,"00",0,0,0,0,0,0.5,0.9,0.5,0.2,0.045,0.18,1,"disjunctive",0.18,1,"2","d1","Bu=0",0.324490568024101,"Bu","Bu=0"
"197",482,0,"01",0,0,1,0,0,0.5,0.9,0.5,0.8,0.18,0.72,2,"disjunctive",0.72,1,"2","d1","A",0.026381248890985,"A","A=0"
