"","trial_id","pgroup","trialtype","node3","n","prop","full","noAct","noInf","noSelect","noActnoInf","noActnoSelect","noInfnoSelect","noActnoInfnoSelect","Actual"
"188","2_d7","2","d7","Au=1",34,0.346938775510204,0.0437946136964477,0.0437946136964477,0.0359115832310872,0.121951219512195,0.0359115832310872,0.121951219512195,0.1,0.1,TRUE
"189","2_d7","2","d7","B=0",0,0,0,0,0,NA,0,NA,NA,NA,NA
"190","2_d7","2","d7","B=1",6,0.0612244897959184,0.771790223254749,0.771790223254749,0.668902024276971,1,0.668902024276971,1,1,1,TRUE
"191","2_d7","2","d7","Bu=0",0,0,0,-0.00732701644636734,0,0,-0.158723155875044,0.024390243902439,0,0.2,FALSE
"192","2_d7","2","d7","Bu=1",54,0.551020408163265,0.46284252027238,0.46284252027238,0.379530866623351,0.975609756097561,0.379530866623351,0.975609756097561,0.8,0.8,TRUE
"193","3_c1","3","c1","A=0",31,0.292452830188679,0.252050183620628,0.252050183620628,0.252050183620628,1,0.252050183620628,1,1,1,TRUE
"194","3_c1","3","c1","A=1",1,0.00943396226415094,0,0,0,NA,0,NA,NA,NA,NA
"195","3_c1","3","c1","Au=0",3,0.0283018867924528,0.0148633079413221,0.0148633079413221,0.0148633079413221,0.3,0.0148633079413221,0.3,0.3,0.3,TRUE
"196","3_c1","3","c1","Au=1",1,0.00943396226415094,0,-0.0115794485571426,0,0,-0.0115794485571426,0.7,0,0.7,FALSE
"197","3_c1","3","c1","B=0",62,0.584905660377358,0.0790022556170815,0.0790022556170815,0.0790022556170815,1,0.0790022556170815,1,1,1,TRUE
"198","3_c1","3","c1","B=1",2,0.0188679245283019,0,0,0,NA,0,NA,NA,NA,NA
"199","3_c1","3","c1","Bu=0",6,0.0566037735849057,0.0303044602570812,0.0303044602570812,0.0303044602570812,0.5,0.0303044602570812,0.5,0.5,0.5,TRUE
"200","3_c1","3","c1","Bu=1",0,0,0,-0.0132795101158995,0,0,-0.0132795101158995,0.5,0,0.5,FALSE
"201","3_c2","3","c2","A=0",56,0.583333333333333,0.503630270923752,0.503630270923752,0.503630270923752,1,0.503630270923752,1,1,1,TRUE
"202","3_c2","3","c2","A=1",1,0.0104166666666667,0,0,0,NA,0,NA,NA,NA,NA
"203","3_c2","3","c2","Au=0",2,0.0208333333333333,0.0291700276785506,0.0291700276785506,0.0291700276785506,0.3,0.0291700276785506,0.3,0.3,0.3,TRUE
"204","3_c2","3","c2","Au=1",0,0,0,-0.023182683070905,0,0,-0.023182683070905,0.7,0,0.7,FALSE
"205","3_c2","3","c2","B=0",0,0,0,0,0,NA,0,NA,NA,NA,NA
"206","3_c2","3","c2","B=1",4,0.0416666666666667,0,-0.0223733970740711,0,0,-0.0223733970740711,0,0,0,FALSE
"207","3_c2","3","c2","Bu=0",28,0.291666666666667,0.0610217760133463,0.0610217760133463,0.0610217760133463,0.5,0.0610217760133463,0.5,0.5,0.5,TRUE
"208","3_c2","3","c2","Bu=1",5,0.0520833333333333,0,-0.0265240937858534,0,0,-0.0265240937858534,0.5,0,0.5,FALSE
"209","3_c3","3","c3","A=0",0,0,0,0,0,NA,0,NA,NA,NA,NA
"210","3_c3","3","c3","A=1",6,0.0689655172413793,0,-0.140753192998134,0,0,-0.140753192998134,0,0,0,FALSE
"211","3_c3","3","c3","Au=0",23,0.264367816091954,0.0739035889295291,0.0739035889295291,0.0739035889295291,0.3,0.0739035889295291,0.3,0.3,0.3,TRUE
"212","3_c3","3","c3","Au=1",4,0.0459770114942529,0,-0.0608261106229064,0,0,-0.0608261106229064,0.7,0,0.7,FALSE
"213","3_c3","3","c3","B=0",45,0.517241379310345,0.411556343486102,0.411556343486102,0.411556343486102,1,0.411556343486102,1,1,1,TRUE
"214","3_c3","3","c3","B=1",0,0,0,0,0,NA,0,NA,NA,NA,NA
"215","3_c3","3","c3","Bu=0",8,0.0919540229885057,0.156709134148804,0.156709134148804,0.156709134148804,0.5,0.156709134148804,0.5,0.5,0.5,TRUE
"216","3_c3","3","c3","Bu=1",1,0.0114942528735632,0,-0.0695993473744681,0,0,-0.0695993473744681,0.5,0,0.5,FALSE
"217","3_c4","3","c4","A=0",0,0,0,0,0,NA,0,NA,NA,NA,NA
"218","3_c4","3","c4","A=1",2,0.0212765957446809,0,-0.178225016771059,0,0,-0.342409391468003,0,0,0,FALSE
"219","3_c4","3","c4","Au=0",29,0.308510638297872,0.233827378933427,0.233827378933427,0.151987796306728,0.461538461538462,0.151987796306728,0.461538461538462,0.3,0.3,TRUE
"220","3_c4","3","c4","Au=1",0,0,0,-0.0543717213953717,0,0,-0.152398126808145,0.538461538461539,0,0.7,FALSE
"221","3_c4","3","c4","B=0",1,0.0106382978723404,0,0,0,NA,0,NA,NA,NA,NA
"222","3_c4","3","c4","B=1",1,0.0106382978723404,0,-0.0740155557051204,0,0,-0.141878416328904,0,0,0,FALSE
"223","3_c4","3","c4","Bu=0",58,0.617021276595745,0.492948011558942,0.492948011558942,0.320416207513312,0.76923076923077,0.320416207513312,0.76923076923077,0.5,0.5,TRUE
"224","3_c4","3","c4","Bu=1",3,0.0319148936170213,0,-0.0362870773453473,0,0,-0.179923492340931,0.230769230769231,0,0.5,FALSE
"225","3_c5","3","c5","A=0",1,0.00961538461538462,0,0,0,NA,0,NA,NA,NA,NA
"226","3_c5","3","c5","A=1",24,0.230769230769231,0.646070794090474,0.646070794090474,0.341839107945611,1,0.341839107945611,1,1,1,TRUE
"227","3_c5","3","c5","Au=0",0,0,0,0,0,0,-0.152029614766821,0,0,0.3,FALSE
"228","3_c5","3","c5","Au=1",55,0.528846153846154,0.334589688655971,0.334589688655971,0.15227996740015,1,0.15227996740015,1,0.7,0.7,TRUE
"229","3_c5","3","c5","B=0",0,0,0,0,0,NA,0,NA,NA,NA,NA
"230","3_c5","3","c5","B=1",5,0.0480769230769231,0.26946822447318,0.26946822447318,0.142474299698186,1,0.142474299698186,1,1,1,TRUE
"231","3_c5","3","c5","Bu=0",1,0.00961538461538462,0,0,0,0,-0.320488245980613,0,0,0.5,FALSE
"232","3_c5","3","c5","Bu=1",18,0.173076923076923,0.44740849183589,0.44740849183589,0.180088892757636,1,0.180088892757636,1,0.5,0.5,TRUE
"233","3_d1","3","d1","A=0",20,0.21505376344086,0.357516653561563,0.357516653561563,0.357516653561563,1,0.357516653561563,1,1,1,TRUE
"234","3_d1","3","d1","A=1",1,0.010752688172043,0,0,0,NA,0,NA,NA,NA,NA
"235","3_d1","3","d1","Au=0",3,0.032258064516129,0.012487905332325,0.012487905332325,0.012487905332325,0.3,0.012487905332325,0.3,0.3,0.3,TRUE
"236","3_d1","3","d1","Au=1",0,0,0,-0.0177882163620358,0,0,-0.0177882163620358,0.7,0,0.7,FALSE
"237","3_d1","3","d1","B=0",61,0.655913978494624,0.566037842326782,0.566037842326782,0.566037842326782,1,0.566037842326782,1,1,1,TRUE
"238","3_d1","3","d1","B=1",0,0,0,0,0,NA,0,NA,NA,NA,NA
"239","3_d1","3","d1","Bu=0",7,0.0752688172043011,0.18365264763006,0.18365264763006,0.18365264763006,0.5,0.18365264763006,0.5,0.5,0.5,TRUE
"240","3_d1","3","d1","Bu=1",1,0.010752688172043,0,-0.101423030365927,0,0,-0.101423030365927,0.5,0,0.5,FALSE
"241","3_d2","3","d2","A=0",17,0.2125,0.276708278026883,0.276708278026883,0.168455574136424,1,0.168455574136424,1,1,1,TRUE
"242","3_d2","3","d2","A=1",0,0,0,0,0,NA,0,NA,NA,NA,NA
"243","3_d2","3","d2","Au=0",2,0.025,0.00864451979876478,0.00864451979876478,0.00504993489341185,0.3,0.00504993489341185,0.3,0.3,0.3,TRUE
"244","3_d2","3","d2","Au=1",1,0.0125,0,-0.0143225389320311,0,0,-0.00804810576745131,0.7,0,0.7,FALSE
"245","3_d2","3","d2","B=0",0,0,0,0,0,NA,0,NA,NA,NA,NA
"246","3_d2","3","d2","B=1",8,0.1,0,-0.0959584743682388,0,0,-0.296608821174973,0,0,0,FALSE
"247","3_d2","3","d2","Bu=0",50,0.625,0.899790339806918,0.899790339806918,0.449895169903459,1,0.449895169903459,1,0.5,0.5,TRUE
"248","3_d2","3","d2","Bu=1",2,0.025,0,0,0,0,-0.413445906423771,0,0,0.5,FALSE
"249","3_d3","3","d3","A=0",4,0.0487804878048781,0,-0.0606458233242306,0,0,-0.169912591095511,0,0,0,FALSE
"250","3_d3","3","d3","A=1",0,0,0,0,0,NA,0,NA,NA,NA,NA
"251","3_d3","3","d3","Au=0",1,0.0121951219512195,0,-0.00218499301822921,0,0,-0.00559144820610003,0.3,0,0.3,FALSE
"252","3_d3","3","d3","Au=1",2,0.024390243902439,0,0.00311494341094472,0,0,0.00838949518153539,0.7,0,0.7,FALSE
"253","3_d3","3","d3","B=0",0,0,0,0,0,NA,0,NA,NA,NA,NA
"254","3_d3","3","d3","B=1",12,0.146341463414634,0.496859152332432,0.496859152332432,0.296279419975429,1,0.296279419975429,1,1,1,TRUE
"255","3_d3","3","d3","Bu=0",1,0.0121951219512195,0,0,0,0,-0.449684089505251,0,0,0.5,FALSE
"256","3_d3","3","d3","Bu=1",62,0.75609756097561,0.826631311153804,0.826631311153804,0.413315655576902,1,0.413315655576902,1,0.5,0.5,TRUE
