"","subject_id","cb","prob0","prob1","prob2","prob3","structure","trialtype","ans","ansVar","ansVar2","node3","isPerm","isCoh","pgroup","isLat","realLat","connectedWith"
"927","lezdvmtswn",0,"50%","10%","50%","80%","conjunctive","c2",8,"Bu","Bu=0","Bu=0",TRUE,TRUE,"2",TRUE,TRUE,"B"
"928","lezdvmtswn",0,"50%","10%","50%","80%","conjunctive","c1",2,"A","A","A=0",TRUE,TRUE,"2",FALSE,FALSE,"A"
"929","lgtj8fvsno",0,"50%","10%","50%","80%","disjunctive","d3",7,"Bu","Bu=1","Bu=1",TRUE,TRUE,"2",TRUE,FALSE,"B"
"930","lgtj8fvsno",0,"50%","10%","50%","80%","disjunctive","d5",3,"Au","Au=1","Au=1",TRUE,TRUE,"2",TRUE,FALSE,"A"
"931","lgtj8fvsno",0,"10%","50%","80%","50%","conjunctive","c3",4,"Au","Au=0","Au=0",TRUE,TRUE,"1",TRUE,TRUE,"A"
"932","lgtj8fvsno",0,"50%","10%","50%","80%","conjunctive","c5",7,"Bu","Bu=1","Bu=1",TRUE,TRUE,"2",TRUE,FALSE,"B"
"933","lgtj8fvsno",0,"10%","70%","80%","50%","disjunctive","d4",4,"Au","Au=0","Au=0",TRUE,TRUE,"3",TRUE,FALSE,"A"
"934","lgtj8fvsno",0,"10%","50%","80%","50%","disjunctive","d7",3,"Au","Au=1","Au=1",TRUE,TRUE,"1",TRUE,TRUE,"A"
"935","lgtj8fvsno",0,"10%","70%","80%","50%","disjunctive","d2",5,"B","B","B=1",FALSE,TRUE,"3",FALSE,FALSE,"B"
"936","lgtj8fvsno",0,"10%","70%","80%","50%","conjunctive","c4",8,"Bu","Bu=0","Bu=0",TRUE,TRUE,"3",TRUE,TRUE,"B"
"937","lk0ubcah1v",0,"10%","70%","80%","50%","disjunctive","d7",3,"Au","Au=1","Au=1",TRUE,TRUE,"3",TRUE,TRUE,"A"
"938","lk0ubcah1v",0,"50%","10%","50%","80%","conjunctive","c2",2,"A","A","A=0",TRUE,TRUE,"2",FALSE,FALSE,"A"
"939","lk0ubcah1v",0,"10%","70%","80%","50%","disjunctive","d4",4,"Au","Au=0","Au=0",TRUE,TRUE,"3",TRUE,FALSE,"A"
"940","lk0ubcah1v",0,"10%","70%","80%","50%","conjunctive","c1",6,"B","B","B=0",TRUE,TRUE,"3",FALSE,FALSE,"B"
"941","lk0ubcah1v",0,"10%","50%","80%","50%","disjunctive","d5",3,"Au","Au=1","Au=1",TRUE,TRUE,"1",TRUE,FALSE,"A"
"942","lnqu0k0fqy",0,"50%","10%","50%","80%","conjunctive","c5",7,"Bu","Bu=1","Bu=1",TRUE,TRUE,"2",TRUE,FALSE,"B"
"943","lnqu0k0fqy",0,"10%","70%","80%","50%","disjunctive","d1",8,"Bu","Bu=0","Bu=0",FALSE,TRUE,"3",TRUE,TRUE,"B"
"944","lnqu0k0fqy",0,"50%","10%","50%","80%","conjunctive","c3",6,"B","B","B=0",TRUE,TRUE,"2",FALSE,FALSE,"B"
"945","lnqu0k0fqy",0,"50%","10%","50%","80%","conjunctive","c2",2,"A","A","A=0",TRUE,TRUE,"2",FALSE,FALSE,"A"
"946","lnqu0k0fqy",0,"10%","50%","80%","50%","disjunctive","d6",8,"Bu","Bu=0","Bu=0",TRUE,TRUE,"1",TRUE,FALSE,"B"
"947","lnqu0k0fqy",0,"50%","10%","50%","80%","disjunctive","d3",7,"Bu","Bu=1","Bu=1",TRUE,TRUE,"2",TRUE,FALSE,"B"
"948","lnqu0k0fqy",0,"10%","50%","80%","50%","disjunctive","d4",4,"Au","Au=0","Au=0",TRUE,TRUE,"1",TRUE,FALSE,"A"
"949","lpdp9047rp",0,"50%","10%","50%","80%","conjunctive","c5",3,"Au","Au=1","Au=1",TRUE,TRUE,"2",TRUE,FALSE,"A"
"950","lpdp9047rp",0,"50%","10%","50%","80%","conjunctive","c2",1,"A","A","A=1",FALSE,FALSE,"2",FALSE,FALSE,"A"
"951","lpdp9047rp",0,"10%","70%","80%","50%","disjunctive","d6",8,"Bu","Bu=0","Bu=0",TRUE,TRUE,"3",TRUE,FALSE,"B"
"952","lpdp9047rp",0,"10%","50%","80%","50%","disjunctive","d4",6,"B","B","B=0",TRUE,TRUE,"1",FALSE,FALSE,"B"
"953","lpdp9047rp",0,"10%","70%","80%","50%","disjunctive","d1",6,"B","B","B=0",TRUE,TRUE,"3",FALSE,FALSE,"B"
"954","lpdp9047rp",0,"10%","50%","80%","50%","disjunctive","d5",1,"A","A","A=1",TRUE,TRUE,"1",FALSE,FALSE,"A"
"955","lva6pajn7b",0,"10%","50%","80%","50%","conjunctive","c3",6,"B","B","B=0",TRUE,TRUE,"1",FALSE,FALSE,"B"
"956","lva6pajn7b",0,"10%","50%","80%","50%","disjunctive","d2",2,"A","A","A=0",TRUE,TRUE,"1",FALSE,FALSE,"A"
"957","lva6pajn7b",0,"10%","70%","80%","50%","disjunctive","d7",3,"Au","Au=1","Au=1",TRUE,TRUE,"3",TRUE,TRUE,"A"
"958","lva6pajn7b",0,"10%","50%","80%","50%","conjunctive","c4",8,"Bu","Bu=0","Bu=0",TRUE,TRUE,"1",TRUE,TRUE,"B"
"959","lva6pajn7b",0,"50%","10%","50%","80%","disjunctive","d6",4,"Au","Au=0","Au=0",TRUE,TRUE,"2",TRUE,FALSE,"A"
"960","lva6pajn7b",0,"50%","10%","50%","80%","conjunctive","c2",2,"A","A","A=0",TRUE,TRUE,"2",FALSE,FALSE,"A"
"961","lva6pajn7b",0,"50%","10%","50%","80%","conjunctive","c5",3,"Au","Au=1","Au=1",TRUE,TRUE,"2",TRUE,FALSE,"A"
"962","lvwhpnhhz2",0,"50%","10%","50%","80%","disjunctive","d4",1,"A","A","A=1",FALSE,TRUE,"2",FALSE,FALSE,"A"
"963","lvwhpnhhz2",0,"50%","10%","50%","80%","disjunctive","d5",3,"Au","Au=1","Au=1",TRUE,TRUE,"2",TRUE,FALSE,"A"
"964","lvwhpnhhz2",0,"10%","50%","80%","50%","disjunctive","d2",8,"Bu","Bu=0","Bu=0",TRUE,TRUE,"1",TRUE,FALSE,"B"
"965","lvwhpnhhz2",0,"10%","50%","80%","50%","conjunctive","c5",7,"Bu","Bu=1","Bu=1",TRUE,TRUE,"1",TRUE,FALSE,"B"
"966","lvwhpnhhz2",0,"10%","50%","80%","50%","conjunctive","c2",6,"B","B","B=0",FALSE,FALSE,"1",FALSE,FALSE,"B"
"967","lvwhpnhhz2",0,"10%","70%","80%","50%","conjunctive","c1",2,"A","A","A=0",TRUE,TRUE,"3",FALSE,FALSE,"A"
"968","lvwhpnhhz2",0,"50%","10%","50%","80%","conjunctive","c4",8,"Bu","Bu=0","Bu=0",TRUE,TRUE,"2",TRUE,TRUE,"B"
"969","lvwhpnhhz2",0,"50%","10%","50%","80%","conjunctive","c3",4,"Au","Au=0","Au=0",TRUE,TRUE,"2",TRUE,TRUE,"A"
"970","mdw6h0o487",0,"10%","70%","80%","50%","conjunctive","c2",5,"B","B","B=1",FALSE,TRUE,"3",FALSE,FALSE,"B"
"971","mdw6h0o487",0,"10%","50%","80%","50%","conjunctive","c1",6,"B","B","B=0",TRUE,TRUE,"1",FALSE,FALSE,"B"
"972","mdw6h0o487",0,"10%","70%","80%","50%","disjunctive","d2",8,"Bu","Bu=0","Bu=0",TRUE,TRUE,"3",TRUE,FALSE,"B"
"973","mdw6h0o487",0,"10%","50%","80%","50%","disjunctive","d3",7,"Bu","Bu=1","Bu=1",TRUE,TRUE,"1",TRUE,FALSE,"B"
"974","mdw6h0o487",0,"10%","50%","80%","50%","disjunctive","d4",3,"Au","Au=1","Au=1",FALSE,FALSE,"1",TRUE,FALSE,"A"
"975","mdw6h0o487",0,"50%","10%","50%","80%","disjunctive","d1",6,"B","B","B=0",TRUE,TRUE,"2",FALSE,FALSE,"B"
"976","mdw6h0o487",0,"50%","10%","50%","80%","conjunctive","c4",8,"Bu","Bu=0","Bu=0",TRUE,TRUE,"2",TRUE,TRUE,"B"
