"","A","Au","B","Bu","E.x","E.y","pA","peA","pB","peB","Pr","PrUn","index","structure","posterior","groupPost","pgroup","mA","mAu","mB","mBu","cfsA","cfaAu","cfsB","cfsBu","Sum","run"
"47",1,1,1,1,0,1,0.1,0.5,0.8,0.5,0.02,0.25,19,"conjunctive",0,4,1,-0.604919585914648,-0.41831077886224,-0.249705511024343,-0.415166569422687,27047,15059,5942,14867,50327,1
"48",1,1,1,1,1,1,0.1,0.5,0.8,0.5,0.02,0.25,20,"conjunctive",1,5,1,0.603541431583201,0.415500469475225,0.249448163400184,0.416780550240129,26913,14859,5918,14937,49729,1
"49",0,0,0,0,0,0,0.9,0.5,0.2,0.5,0.045,0.25,1,"disjunctive",0.25,1,1,0.118526217249963,0.0474266516952774,0.326530467676578,0.434071266854645,3064,14792,23976,15022,95998,2
"50",0,0,0,1,0,0,0.9,0.5,0.2,0.5,0.045,0.25,2,"disjunctive",0.25,1,1,0.0536168845712911,0.0183403731782527,0.892389813476683,-0.207865330679855,3033,14959,23859,14856,79310,2
"51",0,1,0,0,0,0,0.9,0.5,0.2,0.5,0.045,0.25,3,"disjunctive",0.25,1,1,0.583451920363528,-0.0439859779928544,0.264662084059336,0.350324874846076,3002,14888,24028,15110,93862,2
"52",0,1,0,1,0,0,0.9,0.5,0.2,0.5,0.045,0.25,4,"disjunctive",0.25,1,1,0.277928557541991,-0.0249066948354983,0.848027848647796,-0.199040503964932,3040,14916,23991,14919,77525,2
"53",0,0,1,0,0,0,0.9,0.5,0.8,0.5,0.18,0.25,5,"disjunctive",0.5,2,1,0.062891569325917,0.026509069873024,-0.100888403077306,0.950089755626005,2974,15079,6060,14907,85559,2
"54",0,0,1,0,1,0,0.9,0.5,0.8,0.5,0.18,0.25,6,"disjunctive",0,3,1,-0.0633661788239799,-0.0253463131313741,0.101683441982227,-0.949688111895165,3084,14983,6044,15039,14550,2
"55",0,0,1,1,0,1,0.9,0.5,0.8,0.5,0.18,0.25,7,"disjunctive",0,2,1,0.00969755449553434,0.00590640317634705,-0.504514170043682,-0.833532478311386,2961,15096,6028,14865,19949,2
"56",0,0,1,1,1,1,0.9,0.5,0.8,0.5,0.18,0.25,8,"disjunctive",0.5,3,1,-0.0103831835832356,-0.00918919590061466,0.505345502977018,0.833847563706759,3064,15069,6014,14864,80110,2
